x,y
2.165948123511764578e+01,0.000000000000000000e+00
2.156664500276018970e+01,7.169288647687435678e-02
2.166223520891788823e+01,1.488420558723300979e-01
2.156927158405488143e+01,2.157477628596677632e-01
2.146675607844393241e+01,2.766910269249418519e-01
2.157408510142816027e+01,3.617640687497032936e-01
2.154842279737612287e+01,4.310334525115026572e-01
2.164348067986854929e+01,5.234232696743643665e-01
2.164051459280745249e+01,5.999101967260908053e-01
2.174320165111924297e+01,7.043344716961157381e-01
2.152789800433381373e+01,7.248630884116205042e-01
2.143617776978759082e+01,7.728011099866815004e-01
2.135350246854784118e+01,8.195762720404284885e-01
2.114679548865475311e+01,8.154911061351030055e-01
2.089953555247084438e+01,7.829320569821656139e-01
2.084061169990924611e+01,8.194931273141036199e-01
2.069380917602240544e+01,8.115373805230721160e-01
2.062093942404188596e+01,8.330497086257194761e-01
2.042343408641252722e+01,7.825395110950518207e-01
2.038504785386540874e+01,8.126027493844101279e-01
2.031592879966420995e+01,8.222835762049931496e-01
2.021354577063027946e+01,8.062778823052476618e-01
2.014201233122093626e+01,8.056010806912856648e-01
2.008053722342673098e+01,8.083451197125152143e-01
2.000951299202124645e+01,8.001301379952685533e-01
1.995501260720379122e+01,8.013507264743547909e-01
1.988653925946403334e+01,7.871063865796729120e-01
1.987096596555027261e+01,8.178914820913892880e-01
1.977481609718037703e+01,7.694256546833649901e-01
1.976370191104531315e+01,8.019660108661577080e-01
1.970426354465899621e+01,7.821639064362478910e-01
1.965807251310360471e+01,7.732325871236453985e-01
1.962926242989266612e+01,7.826446194964846725e-01
1.962451163883548944e+01,8.227636995466356407e-01
1.957029214188160893e+01,7.965756349689862015e-01
1.953510588733763953e+01,7.933271025881601934e-01
1.950875250198957644e+01,8.016656662637706710e-01
1.948149300572958609e+01,8.077120314504573351e-01
1.945296817174489590e+01,8.104911115518576015e-01
1.942611440735673156e+01,8.150816850047678530e-01
1.938714308256990648e+01,7.937609494339266103e-01
1.937124806185470050e+01,8.184118097707966388e-01
1.934022100819020551e+01,8.093537958520450326e-01
