x,y
1.380000000000000071e+01,0.000000000000000000e+00
1.380000000000000071e+01,2.234602335727001524e-02
1.380000000000000071e+01,4.472694384740848877e-02
1.380000000000000071e+01,6.717787693558503748e-02
1.380000000000000071e+01,8.973437766071561128e-02
1.380000000000000071e+01,1.124326677619132547e-01
1.380000000000000071e+01,1.353098718015860735e-01
1.380000000000000071e+01,1.584042656064785226e-01
1.380000000000000071e+01,1.817555406389944339e-01
1.380000000000000071e+01,2.054050882941816092e-01
1.380000000000000071e+01,2.293963086070465451e-01
1.380000000000000071e+01,2.537749484690724477e-01
1.380000000000000071e+01,2.785894752160170129e-01
1.380000000000000071e+01,3.038914923921756661e-01
1.380000000000000071e+01,3.297362056588022394e-01
1.380000000000000071e+01,3.561829482468292785e-01
1.380000000000000071e+01,3.832957771211589204e-01
1.380000000000000071e+01,4.111441532088710993e-01
1.380000000000000071e+01,4.398037217542164479e-01
1.380000000000000071e+01,4.693572122387473788e-01
1.380000000000000071e+01,4.998954815274623820e-01
1.380000000000000071e+01,5.315187292105126859e-01
1.380000000000000071e+01,5.643379208208791908e-01
1.380000000000000071e+01,5.984764631422828662e-01
1.380000000000000071e+01,6.340721867428361636e-01
1.380000000000000071e+01,6.712797049418246509e-01
1.380000000000000071e+01,7.102732366803716779e-01
1.380000000000000071e+01,7.512500046539947185e-01
1.380000000000000071e+01,7.944343515663895294e-01
1.380000000000000071e+01,8.400827592728926652e-01
1.380000000000000071e+01,8.884900118633551891e-01
1.380000000000000071e+01,9.399968200792017115e-01
1.380000000000000071e+01,9.949993291415551999e-01
1.380000000000000071e+01,1.053961077274168989e+00
1.380000000000000071e+01,1.117428176149557029e+00
1.380000000000000071e+01,1.186048774810193773e+00
1.380000000000000071e+01,1.260598287974922238e+00
1.380000000000000071e+01,1.342012485064559169e+00
1.380000000000000071e+01,1.431431455203108438e+00
1.380000000000000071e+01,1.530258861812951121e+00
1.380000000000000071e+01,1.640243073263438323e+00
1.380000000000000071e+01,1.763590211207317848e+00
1.380000000000000071e+01,1.903124795631814248e+00
1.380000000000000071e+01,2.062523132217185751e+00
1.380000000000000071e+01,2.246661009191075475e+00
1.380000000000000071e+01,2.462146829740204712e+00
1.376522161385529230e+01,2.600000000000000533e+00
1.368694963160926648e+01,2.599999999999999645e+00
1.360982449448686893e+01,2.600000000000000089e+00
1.353370335274736647e+01,2.600000000000000089e+00
1.345845014984200994e+01,2.600000000000000089e+00
1.338393459678052011e+01,2.600000000000000089e+00
1.331003122976943587e+01,2.600000000000000089e+00
1.323661853608884265e+01,2.599999999999999645e+00
1.316357813485949002e+01,2.600000000000000089e+00
1.309079400067854415e+01,2.600000000000000089e+00
