x,y
1.480000000000000071e+01,0.000000000000000000e+00
1.480000000000000071e+01,2.234602335727001524e-02
1.480000000000000071e+01,4.472694384740848877e-02
1.480000000000000071e+01,6.717787693558503748e-02
1.480000000000000071e+01,8.973437766071561128e-02
1.480000000000000071e+01,1.124326677619132547e-01
1.480000000000000071e+01,1.353098718015860735e-01
1.480000000000000071e+01,1.584042656064785226e-01
1.480000000000000071e+01,1.817555406389944339e-01
1.480000000000000071e+01,2.054050882941816092e-01
1.480000000000000071e+01,2.293963086070465451e-01
1.480000000000000071e+01,2.537749484690724477e-01
1.480000000000000071e+01,2.785894752160170129e-01
1.480000000000000071e+01,3.038914923921756661e-01
1.480000000000000071e+01,3.297362056588022394e-01
1.480000000000000071e+01,3.561829482468292785e-01
1.480000000000000071e+01,3.832957771211589204e-01
1.480000000000000071e+01,4.111441532088710993e-01
1.480000000000000071e+01,4.398037217542164479e-01
1.480000000000000071e+01,4.693572122387473788e-01
1.480000000000000071e+01,4.998954815274623820e-01
1.480000000000000071e+01,5.315187292105126859e-01
1.480000000000000071e+01,5.643379208208791908e-01
1.480000000000000071e+01,5.984764631422828662e-01
1.480000000000000071e+01,6.340721867428361636e-01
1.480000000000000071e+01,6.712797049418246509e-01
1.480000000000000071e+01,7.102732366803716779e-01
1.480000000000000071e+01,7.512500046539947185e-01
1.480000000000000071e+01,7.944343515663895294e-01
1.480000000000000071e+01,8.400827592728926652e-01
1.480000000000000071e+01,8.884900118633551891e-01
1.480000000000000071e+01,9.399968200792013784e-01
1.480000000000000071e+01,9.949993291415551999e-01
1.480000000000000071e+01,1.053961077274168989e+00
1.480000000000000071e+01,1.117428176149557029e+00
1.480000000000000071e+01,1.186048774810193773e+00
1.480000000000000071e+01,1.260598287974922238e+00
1.480000000000000071e+01,1.342012485064559169e+00
1.480000000000000071e+01,1.431431455203108438e+00
1.480000000000000071e+01,1.530258861812951121e+00
1.480000000000000071e+01,1.640243073263438323e+00
1.477115420087809028e+01,1.700000000000000622e+00
1.471461419824993655e+01,1.700000000000000622e+00
1.465938654396473062e+01,1.700000000000000622e+00
1.460534277064330233e+01,1.700000000000000622e+00
1.455236348359594167e+01,1.700000000000000400e+00
1.450033720905923040e+01,1.700000000000000844e+00
1.444915937451375143e+01,1.700000000000000622e+00
1.439873140024141485e+01,1.700000000000000622e+00
1.434895988448866255e+01,1.700000000000000622e+00
1.429975586720439118e+01,1.700000000000000622e+00
1.425103415943341645e+01,1.700000000000000400e+00
1.420271272715693911e+01,1.700000000000000622e+00
1.415471211975039623e+01,1.700000000000000622e+00
1.410695493433120440e+01,1.700000000000000622e+00
1.405936530813597152e+01,1.700000000000000622e+00
1.401186843173184293e+01,1.700000000000000622e+00
1.396439007635357754e+01,1.700000000000000844e+00
1.391685612898456270e+01,1.700000000000000400e+00
1.386919212897783638e+01,1.700000000000000622e+00
1.382132280004834968e+01,1.700000000000000622e+00
1.377317157136171311e+01,1.700000000000000622e+00
1.372466008119352843e+01,1.700000000000000622e+00
1.367570765622843609e+01,1.700000000000000622e+00
1.362623075899456815e+01,1.700000000000000622e+00
1.357614239516659183e+01,1.700000000000000622e+00
1.352535147149048811e+01,1.700000000000000622e+00
1.347376209384872681e+01,1.700000000000000622e+00
1.342127279344737190e+01,1.700000000000000400e+00
1.336777566720520838e+01,1.700000000000000622e+00
1.331315541608023345e+01,1.700000000000000844e+00
1.325728826217992129e+01,1.700000000000000622e+00
1.320004072193917111e+01,1.700000000000000622e+00
1.314126820824776054e+01,1.700000000000000400e+00
1.308081342895320986e+01,1.700000000000000622e+00
1.301850454237763621e+01,1.700000000000000400e+00
1.295415302200654750e+01,1.700000000000000622e+00
1.288755117185935184e+01,1.700000000000000844e+00
1.281846922060962513e+01,1.700000000000000622e+00
1.274665190545603366e+01,1.700000000000000400e+00
1.267181443493858062e+01,1.700000000000000844e+00
1.259363769184679072e+01,1.700000000000000622e+00
1.251176250103127074e+01,1.700000000000000622e+00
1.242578273950023870e+01,1.700000000000000622e+00
1.233523700376616539e+01,1.700000000000000622e+00
1.223959846655603023e+01,1.700000000000000400e+00
1.213826244400160803e+01,1.700000000000000844e+00
1.203053104424684783e+01,1.700000000000000622e+00
1.191559406305613322e+01,1.700000000000000844e+00
1.179250500800203838e+01,1.700000000000000622e+00
1.166015073519900547e+01,1.700000000000000622e+00
1.151721261848973654e+01,1.700000000000000400e+00
1.136211635929086228e+01,1.700000000000000400e+00
1.119296635896937886e+01,1.700000000000000400e+00
1.100745881214584543e+01,1.700000000000000844e+00
1.080276500891123348e+01,1.700000000000000844e+00
1.057537220694430147e+01,1.700000000000000844e+00
1.032086291119089161e+01,1.700000000000000622e+00
1.003360282647675028e+01,1.700000000000000844e+00
9.706290127939578127e+00,1.700000000000000400e+00
9.329288386927142795e+00,1.700000000000000400e+00
8.889611464057868062e+00,1.700000000000000844e+00
8.369328347229632925e+00,1.700000000000000400e+00
7.742960525269987571e+00,1.700000000000000622e+00
1.180000005161913634e+01,2.694222894908965646e-16
1.222012749497318396e+01,-4.971634071286552131e-02
1.236613265053843591e+01,-9.134736649185244695e-02
1.246821682320845248e+01,-1.286274271781274459e-01
1.254815802721110884e+01,-1.628501698623959215e-01
1.261433832563664303e+01,-1.947420483301397498e-01
1.267102288271167865e+01,-2.247796542094057937e-01
1.272072284152600652e+01,-2.533036984940193470e-01
1.276505854295166564e+01,-2.805718152291594714e-01
1.280514403987127103e+01,-3.067868674863383216e-01
1.284178199263794795e+01,-3.321136693138292406e-01
1.287557196146176075e+01,-3.566895844215273170e-01
1.290697488370394019e+01,-3.806316169335564603e-01
1.293635359540831509e+01,-4.040413665861733450e-01
1.296399943025422630e+01,-4.270086211604101067e-01
