x,y
1.900000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,5.586505839317498084e-02
1.900000000000000000e+01,1.118173596185211144e-01
1.900000000000000000e+01,1.679446923389624202e-01
1.900000000000000000e+01,2.243359441517888686e-01
1.900000000000000000e+01,2.810816694047828523e-01
1.900000000000000000e+01,3.382746795039648924e-01
1.900000000000000000e+01,3.960106640161959457e-01
1.900000000000000000e+01,4.543888515974857656e-01
1.900000000000000000e+01,5.135127207354535095e-01
1.900000000000000000e+01,5.734907715176157383e-01
1.900000000000000000e+01,6.344373711726803977e-01
1.900000000000000000e+01,6.964736880400417274e-01
1.900000000000000000e+01,7.597287309804383604e-01
1.900000000000000000e+01,8.243405141470048214e-01
1.900000000000000000e+01,8.904573706170721969e-01
1.900000000000000000e+01,9.582394428028965239e-01
1.900000000000000000e+01,1.027860383022176860e+00
1.900000000000000000e+01,1.099509304385540176e+00
1.887490460794788660e+01,1.100000000000000977e+00
1.876036798194515853e+01,1.100000000000000755e+00
1.865563309745849097e+01,1.100000000000001199e+00
1.855934940313768777e+01,1.100000000000000977e+00
1.847040034854434865e+01,1.100000000000000977e+00
1.838785459826029012e+01,1.100000000000000755e+00
1.831092895185363290e+01,1.100000000000001199e+00
1.823895981793272725e+01,1.100000000000000977e+00
1.817138102435727376e+01,1.100000000000000977e+00
1.810770638035087643e+01,1.100000000000000755e+00
1.804751584327436831e+01,1.100000000000000755e+00
1.799044444872762583e+01,1.100000000000000977e+00
1.793617337974170312e+01,1.100000000000000977e+00
1.788442270685672852e+01,1.100000000000000977e+00
1.783494544435732010e+01,1.100000000000000977e+00
1.778752265137282862e+01,1.100000000000000977e+00
1.774195936852666833e+01,1.100000000000000977e+00
1.769808122729856237e+01,1.100000000000000755e+00
1.765573160443262779e+01,1.100000000000000977e+00
1.761476922055980410e+01,1.100000000000000977e+00
1.757506610284055881e+01,1.100000000000000977e+00
1.753650584742244689e+01,1.100000000000001199e+00
1.749898212997993951e+01,1.100000000000000977e+00
1.746239742239701798e+01,1.100000000000000977e+00
1.742666188138894512e+01,1.100000000000000977e+00
1.739169238100448922e+01,1.100000000000000977e+00
1.735741166585619766e+01,1.100000000000000977e+00
1.732374760586185403e+01,1.100000000000000977e+00
1.729063253645007592e+01,1.100000000000000977e+00
1.725800267074444605e+01,1.100000000000001199e+00
1.722579757231619269e+01,1.100000000000000977e+00
1.719395967877931142e+01,1.100000000000000977e+00
1.716243386786868186e+01,1.100000000000000977e+00
1.713116705874860912e+01,1.100000000000000977e+00
1.710010784219143432e+01,1.100000000000000977e+00
1.706920613397901576e+01,1.100000000000000977e+00
1.703841284644092369e+01,1.100000000000000977e+00
1.700767957347354553e+01,1.100000000000000977e+00
1.697695828469937496e+01,1.100000000000000977e+00
1.694620102463706957e+01,1.100000000000000977e+00
1.691535961286801282e+01,1.100000000000000977e+00
1.688438534120775714e+01,1.100000000000000977e+00
1.685322866382228568e+01,1.100000000000000977e+00
1.682183887606640127e+01,1.100000000000000977e+00
1.679016377755957734e+01,1.100000000000000977e+00
1.675814931464354274e+01,1.100000000000000977e+00
1.672573919687249955e+01,1.100000000000000977e+00
1.669287448155266773e+01,1.100000000000000977e+00
1.665949311954917533e+01,1.100000000000000977e+00
1.662552945458359233e+01,1.100000000000001199e+00
1.659091366701513337e+01,1.100000000000000977e+00
1.655557115158132575e+01,1.100000000000000977e+00
1.651942181670465359e+01,1.100000000000000977e+00
1.648237929066652185e+01,1.100000000000000977e+00
1.644435001710149180e+01,1.100000000000000977e+00
1.640523221873442949e+01,1.100000000000001199e+00
1.636491470389141156e+01,1.100000000000000755e+00
1.632327548482776436e+01,1.100000000000000977e+00
1.628018017002663953e+01,1.100000000000001199e+00
1.623548008392387487e+01,1.100000000000000977e+00
1.618901005647154889e+01,1.100000000000000977e+00
1.614058581084260879e+01,1.100000000000000977e+00
1.609000085943027614e+01,1.100000000000001199e+00
1.603702279478493864e+01,1.100000000000001199e+00
1.598138883144133082e+01,1.100000000000000977e+00
1.592280041420163528e+01,1.100000000000000977e+00
1.586091665483037261e+01,1.100000000000000977e+00
1.579534628729515688e+01,1.100000000000000977e+00
1.572563773451266478e+01,1.100000000000001199e+00
1.565126674668337969e+01,1.100000000000000977e+00
1.557162088753072915e+01,1.100000000000000977e+00
1.548597988748170806e+01,1.100000000000000977e+00
1.539349051784629907e+01,1.100000000000000977e+00
1.529313411483526330e+01,1.100000000000000977e+00
1.518368411462724410e+01,1.100000000000000977e+00
1.506364981962378202e+01,1.100000000000000977e+00
1.493120088811903301e+01,1.100000000000000977e+00
1.478406436919925326e+01,1.100000000000000977e+00
1.461938188371175329e+01,1.100000000000000977e+00
1.443350771124966059e+01,1.100000000000000977e+00
1.422171714160796085e+01,1.100000000000001199e+00
1.397777483859991321e+01,1.100000000000000977e+00
1.369327800615509005e+01,1.100000000000000977e+00
1.335662422467799537e+01,1.100000000000000977e+00
1.295132739870410532e+01,1.100000000000001199e+00
1.245314496612548538e+01,1.100000000000000977e+00
1.182490687957369424e+01,1.100000000000000977e+00
1.100657134514449886e+01,1.100000000000000977e+00
1.548000236942447394e+01,-6.767465467332318685e-01
1.569246378519458851e+01,-6.264663869598739998e-01
1.581372050052919498e+01,-6.096648503487092086e-01
1.590393809691849469e+01,-6.025651303103183309e-01
