x,y
1.819999999999999929e+01,0.000000000000000000e+00
1.819999999999999929e+01,4.748529963419874378e-02
1.819999999999999929e+01,9.504475567574295625e-02
1.819999999999999929e+01,1.427529884881180711e-01
1.819999999999999929e+01,1.906855525290205300e-01
1.819999999999999929e+01,2.389194189940654911e-01
1.819999999999999929e+01,2.875334775783702224e-01
1.819999999999999929e+01,3.366090644137665344e-01
1.819999999999999929e+01,3.862305238578628841e-01
1.819999999999999929e+01,4.364858126251355830e-01
1.819999999999999929e+01,4.874671557899734609e-01
1.819999999999999929e+01,5.392717654967783547e-01
1.819999999999999929e+01,5.920026348340355904e-01
1.819999999999999929e+01,6.457694213333726729e-01
1.819999999999999929e+01,7.006894370249542314e-01
1.819999999999999929e+01,7.568887650245116339e-01
1.819999999999999929e+01,8.145035263824619287e-01
1.819999999999999929e+01,8.736813255688502533e-01
1.819999999999999929e+01,9.345829087277094382e-01
1.819999999999999929e+01,9.973840760073372502e-01
1.819999999999999929e+01,1.062277898245856722e+00
1.815563309745849097e+01,1.100000000000001199e+00
1.805934940313768777e+01,1.100000000000000977e+00
1.797040034854434865e+01,1.100000000000000977e+00
1.788785459826029012e+01,1.100000000000000755e+00
1.781092895185363290e+01,1.100000000000000755e+00
1.773895981793272725e+01,1.100000000000000977e+00
1.767138102435727376e+01,1.100000000000000977e+00
1.760770638035087643e+01,1.100000000000000755e+00
1.754751584327436831e+01,1.100000000000000755e+00
1.749044444872762583e+01,1.100000000000000977e+00
1.743617337974170312e+01,1.100000000000000977e+00
1.738442270685672852e+01,1.100000000000000977e+00
1.733494544435732010e+01,1.100000000000000977e+00
1.728752265137282862e+01,1.100000000000000755e+00
1.724195936852666833e+01,1.100000000000000977e+00
1.719808122729856237e+01,1.100000000000000755e+00
1.715573160443262779e+01,1.100000000000000977e+00
1.711476922055980410e+01,1.100000000000000977e+00
1.707506610284055881e+01,1.100000000000000977e+00
1.703650584742244689e+01,1.100000000000001199e+00
1.699898212997993951e+01,1.100000000000000977e+00
1.696239742239701798e+01,1.100000000000000977e+00
1.692666188138894512e+01,1.100000000000000977e+00
1.689169238100448922e+01,1.100000000000000977e+00
1.685741166585619766e+01,1.100000000000000977e+00
1.682374760586185403e+01,1.100000000000000977e+00
1.679063253645007592e+01,1.100000000000000977e+00
1.675800267074444605e+01,1.100000000000001199e+00
1.672579757231619269e+01,1.100000000000000977e+00
1.669395967877931142e+01,1.100000000000000977e+00
1.666243386786868186e+01,1.100000000000000977e+00
