x,y
1.580000000000000071e+01,0.000000000000000000e+00
1.580000000000000071e+01,2.234602335727001524e-02
1.580000000000000071e+01,4.472694384740848877e-02
1.580000000000000071e+01,6.717787693558503748e-02
1.580000000000000071e+01,8.973437766071561128e-02
1.580000000000000071e+01,1.124326677619132547e-01
1.580000000000000071e+01,1.353098718015861013e-01
1.580000000000000071e+01,1.584042656064785226e-01
1.580000000000000071e+01,1.817555406389944339e-01
1.580000000000000071e+01,2.054050882941816369e-01
1.580000000000000071e+01,2.293963086070465451e-01
1.580000000000000071e+01,2.537749484690724477e-01
1.580000000000000071e+01,2.785894752160170129e-01
1.580000000000000071e+01,3.038914923921756661e-01
1.580000000000000071e+01,3.297362056588022394e-01
1.580000000000000071e+01,3.561829482468292785e-01
1.580000000000000071e+01,3.832957771211588649e-01
1.580000000000000071e+01,4.111441532088710993e-01
1.580000000000000071e+01,4.398037217542164479e-01
1.580000000000000071e+01,4.693572122387473788e-01
1.580000000000000071e+01,4.998954815274623820e-01
1.580000000000000071e+01,5.315187292105129080e-01
1.580000000000000071e+01,5.643379208208789688e-01
1.580000000000000071e+01,5.984764631422828662e-01
1.580000000000000071e+01,6.340721867428362746e-01
1.580000000000000071e+01,6.712797049418246509e-01
1.580000000000000071e+01,7.102732366803716779e-01
1.580000000000000071e+01,7.512500046539947185e-01
1.580000000000000071e+01,7.944343515663895294e-01
1.580000000000000071e+01,8.400827592728926652e-01
1.580000000000000071e+01,8.884900118633551891e-01
1.580000000000000071e+01,9.399968200792013784e-01
1.580000000000000071e+01,9.949993291415551999e-01
1.580000000000000071e+01,1.053961077274168989e+00
1.578752265137282684e+01,1.100000000000000755e+00
1.574195936852667010e+01,1.100000000000000977e+00
1.569808122729856237e+01,1.100000000000000755e+00
1.565573160443262779e+01,1.100000000000000977e+00
1.561476922055980410e+01,1.100000000000000755e+00
1.557506610284055704e+01,1.100000000000000977e+00
1.553650584742244867e+01,1.100000000000000977e+00
1.549898212997994129e+01,1.100000000000001199e+00
1.546239742239701798e+01,1.100000000000001199e+00
1.542666188138894334e+01,1.100000000000000755e+00
1.539169238100448922e+01,1.100000000000000977e+00
1.535741166585619766e+01,1.100000000000001199e+00
1.532374760586185580e+01,1.100000000000000977e+00
1.529063253645007414e+01,1.100000000000000977e+00
1.525800267074444427e+01,1.100000000000000977e+00
1.522579757231619269e+01,1.100000000000000977e+00
1.519395967877931142e+01,1.100000000000000755e+00
1.516243386786868186e+01,1.100000000000000977e+00
1.513116705874860735e+01,1.100000000000000755e+00
1.510010784219143254e+01,1.100000000000000977e+00
1.506920613397901398e+01,1.100000000000000977e+00
1.503841284644092191e+01,1.100000000000000977e+00
1.500767957347354553e+01,1.100000000000000977e+00
1.497695828469937318e+01,1.100000000000000977e+00
1.494620102463706957e+01,1.100000000000000977e+00
