x,y
1.230000000000000071e+01,0.000000000000000000e+00
1.230000000000000071e+01,2.234602335727001524e-02
1.230000000000000071e+01,4.472694384740848877e-02
1.230000000000000071e+01,6.717787693558503748e-02
1.230000000000000071e+01,8.973437766071561128e-02
1.230000000000000071e+01,1.124326677619132547e-01
1.230000000000000071e+01,1.353098718015861013e-01
1.230000000000000071e+01,1.584042656064785226e-01
1.230000000000000071e+01,1.817555406389944339e-01
1.230000000000000071e+01,2.054050882941816092e-01
1.230000000000000071e+01,2.293963086070465451e-01
1.230000000000000071e+01,2.537749484690723922e-01
1.230000000000000071e+01,2.785894752160170129e-01
1.230000000000000071e+01,3.038914923921756661e-01
1.230000000000000071e+01,3.297362056588022394e-01
1.230000000000000071e+01,3.561829482468292785e-01
1.230000000000000071e+01,3.832957771211589204e-01
1.230000000000000071e+01,4.111441532088710993e-01
1.230000000000000071e+01,4.398037217542164479e-01
1.230000000000000071e+01,4.693572122387473233e-01
1.230000000000000071e+01,4.998954815274623820e-01
1.230000000000000071e+01,5.315187292105126859e-01
1.230000000000000071e+01,5.643379208208791908e-01
1.230000000000000071e+01,5.984764631422826442e-01
1.230000000000000071e+01,6.340721867428361636e-01
1.230000000000000071e+01,6.712797049418246509e-01
1.230000000000000071e+01,7.102732366803716779e-01
1.230000000000000071e+01,7.512500046539947185e-01
1.230000000000000071e+01,7.944343515663895294e-01
1.230000000000000071e+01,8.400827592728924431e-01
1.230000000000000071e+01,8.884900118633548560e-01
1.230000000000000071e+01,9.399968200792017115e-01
1.230000000000000071e+01,9.949993291415551999e-01
1.230000000000000071e+01,1.053961077274168767e+00
1.230000000000000071e+01,1.117428176149557029e+00
1.230000000000000071e+01,1.186048774810193551e+00
1.230000000000000071e+01,1.260598287974922016e+00
1.230000000000000071e+01,1.342012485064559613e+00
1.230000000000000071e+01,1.431431455203108438e+00
1.230000000000000071e+01,1.530258861812951121e+00
1.230000000000000071e+01,1.640243073263438323e+00
1.230000000000000071e+01,1.763590211207318070e+00
1.230000000000000071e+01,1.903124795631814248e+00
1.230000000000000071e+01,2.062523132217185751e+00
1.230000000000000071e+01,2.246661009191075475e+00
1.230000000000000071e+01,2.462146829740204712e+00
1.230000000000000071e+01,2.718166819048240423e+00
1.230000000000000071e+01,3.027878470692735746e+00
1.230000000000000071e+01,3.410817405342499775e+00
