x,y
2.073783561028266931e+01,0.000000000000000000e+00
2.079602709198261934e+01,6.413384378296035915e-02
2.088374380785328555e+01,1.332719693005769701e-01
2.079749997791887139e+01,1.929264634701788328e-01
2.071174764705599003e+01,2.480872483139015539e-01
2.072965724692669909e+01,3.133578905833143691e-01
2.083282829083940513e+01,3.945683712107412311e-01
2.081264558561039379e+01,4.579161569958482558e-01
2.071914202353601553e+01,5.041766978031249069e-01
2.078304625743232847e+01,5.861866476094846901e-01
2.081141898819329938e+01,6.627887294197208901e-01
2.077785043119050101e+01,7.225767197445284173e-01
2.085799116383862284e+01,8.211394011222581391e-01
2.055388282930386978e+01,7.801968977447714115e-01
2.038859791382791542e+01,7.784238876509330662e-01
2.027085835834019889e+01,7.884369387514394978e-01
2.017022284681691602e+01,8.002367050452537933e-01
2.003426759190604045e+01,7.885064373375280100e-01
1.996175639338102670e+01,8.036073776337446795e-01
1.984274787519246175e+01,7.877854992997925798e-01
1.976978206698388263e+01,7.934478972623053572e-01
1.966526873363887518e+01,7.742026956155964035e-01
1.964084945229947721e+01,8.047807598504072013e-01
1.961366935561316183e+01,8.331311213216384681e-01
1.954355231702686169e+01,8.271093745472199998e-01
1.942717956860818163e+01,7.779960340542338981e-01
1.941137474855896627e+01,8.091563656096700807e-01
1.936083753885256797e+01,8.083802563366566662e-01
1.927894208914039353e+01,7.735229418675226842e-01
1.927846263648084957e+01,8.174662995571018165e-01
1.922707705401488809e+01,8.075008754340768924e-01
1.917971876486886273e+01,7.986668469061148912e-01
1.913584101426611994e+01,7.908267282943447496e-01
1.909096157895770673e+01,7.785631279823861384e-01
1.906076925482650353e+01,7.832742070769080911e-01
1.903644798463904664e+01,7.953168436631726790e-01
1.900444067774654044e+01,7.948713184402494969e-01
1.899639722066080338e+01,8.327140845976823691e-01
1.894642910122481183e+01,7.987908225140621932e-01
1.891566403285764508e+01,7.950919622716483559e-01
1.888985447772417814e+01,7.993201333347735860e-01
1.885947321737197058e+01,7.924543091855064114e-01
1.883044204474435190e+01,7.860905610903132779e-01
1.880761900354575289e+01,7.930891384033933456e-01
