2.037500000000000000e+02,1.000000000000000000e+00
2.037500000000000000e+02,2.437500000000000000e+00
2.040000000000000000e+02,3.031250000000000000e+00
2.040000000000000000e+02,5.296875000000000000e+00
2.040000000000000000e+02,5.765625000000000000e+00
2.042500000000000000e+02,8.156250000000000000e+00
2.047500000000000000e+02,9.171875000000000000e+00
2.052500000000000000e+02,1.101562500000000000e+01
2.060000000000000000e+02,1.245312500000000000e+01
2.070000000000000000e+02,1.389062500000000000e+01
2.077500000000000000e+02,1.475000000000000000e+01
2.090000000000000000e+02,1.676562500000000000e+01
2.105000000000000000e+02,1.826562500000000000e+01
2.117500000000000000e+02,1.968750000000000000e+01
2.135000000000000000e+02,1.998437500000000000e+01
2.152500000000000000e+02,2.187500000000000000e+01
2.167500000000000000e+02,2.400000000000000000e+01
2.212500000000000000e+02,2.545312500000000000e+01
2.187500000000000000e+02,2.567187500000000000e+01
2.235000000000000000e+02,2.829687500000000000e+01
2.260000000000000000e+02,2.973437500000000000e+01
2.315000000000000000e+02,3.101562500000000000e+01
2.285000000000000000e+02,3.115625000000000000e+01
2.382500000000000000e+02,3.364062500000000000e+01
2.347500000000000000e+02,3.403125000000000000e+01
2.415000000000000000e+02,3.504687500000000000e+01
2.452500000000000000e+02,3.660937500000000000e+01
2.490000000000000000e+02,3.920312500000000000e+01
2.532500000000000000e+02,4.018750000000000000e+01
2.582500000000000000e+02,4.034375000000000000e+01
2.632500000000000000e+02,4.243750000000000000e+01
2.685000000000000000e+02,4.292187500000000000e+01
2.742500000000000000e+02,4.501562500000000000e+01
4.887500000000000000e+02,6.812500000000000000e+01
4.835000000000000000e+02,6.956250000000000000e+01
4.785000000000000000e+02,7.100000000000000000e+01
4.732500000000000000e+02,7.250000000000000000e+01
4.690000000000000000e+02,7.403125000000000000e+01
4.655000000000000000e+02,7.553125000000000000e+01
4.622500000000000000e+02,7.703125000000000000e+01
4.592500000000000000e+02,7.834375000000000000e+01
4.567500000000000000e+02,7.984375000000000000e+01
4.545000000000000000e+02,8.134375000000000000e+01
4.527500000000000000e+02,8.270312500000000000e+01
4.510000000000000000e+02,8.415625000000000000e+01
4.492500000000000000e+02,8.568750000000000000e+01
4.482500000000000000e+02,8.701562500000000000e+01
4.475000000000000000e+02,8.846875000000000000e+01
4.470000000000000000e+02,8.965625000000000000e+01
4.467500000000000000e+02,9.140625000000000000e+01
4.460000000000000000e+02,9.270312500000000000e+01
4.457500000000000000e+02,9.393750000000000000e+01
4.462500000000000000e+02,9.539062500000000000e+01
4.472500000000000000e+02,9.703125000000000000e+01
4.485000000000000000e+02,9.826562500000000000e+01
4.495000000000000000e+02,9.996875000000000000e+01
4.507500000000000000e+02,1.010937500000000000e+02
4.522500000000000000e+02,1.027343750000000000e+02
4.540000000000000000e+02,1.041250000000000000e+02
4.560000000000000000e+02,1.054531250000000000e+02
4.582500000000000000e+02,1.070312500000000000e+02
4.605000000000000000e+02,1.083750000000000000e+02
4.640000000000000000e+02,1.097968750000000000e+02
4.672500000000000000e+02,1.112187500000000000e+02
4.707500000000000000e+02,1.123281250000000000e+02
4.747500000000000000e+02,1.137812500000000000e+02
4.792500000000000000e+02,1.151250000000000000e+02
4.857500000000000000e+02,1.167812500000000000e+02
4.920000000000000000e+02,1.179375000000000000e+02
4.975000000000000000e+02,1.195156250000000000e+02
5.037500000000000000e+02,1.207656250000000000e+02
5.105000000000000000e+02,1.221875000000000000e+02
5.177500000000000000e+02,1.237031250000000000e+02
5.252500000000000000e+02,1.248750000000000000e+02
5.340000000000000000e+02,1.262343750000000000e+02
5.430000000000000000e+02,1.276875000000000000e+02
5.520000000000000000e+02,1.292031250000000000e+02
5.617500000000000000e+02,1.304687500000000000e+02
5.730000000000000000e+02,1.319687500000000000e+02
5.845000000000000000e+02,1.332031250000000000e+02
5.977500000000000000e+02,1.347031250000000000e+02
6.127500000000000000e+02,1.359687500000000000e+02
4.657500000000000000e+02,1.397343750000000000e+02
4.567500000000000000e+02,1.412656250000000000e+02
4.460000000000000000e+02,1.427656250000000000e+02
4.362500000000000000e+02,1.442500000000000000e+02
4.270000000000000000e+02,1.456250000000000000e+02
4.185000000000000000e+02,1.472031250000000000e+02
4.170000000000000000e+02,1.485312500000000000e+02
4.262500000000000000e+02,1.499687500000000000e+02
9.957500000000000000e+02,1.650625000000000000e+02
9.865000000000000000e+02,1.665156250000000000e+02
9.780000000000000000e+02,1.678906250000000000e+02
1.346500000000000000e+03,1.760937500000000000e+02
1.341500000000000000e+03,1.775000000000000000e+02
1.338500000000000000e+03,1.788906250000000000e+02
1.338000000000000000e+03,1.804843750000000000e+02
1.340000000000000000e+03,1.818593750000000000e+02
1.341000000000000000e+03,1.832968750000000000e+02
